serial,code,name,service_type,specialty,tier1_non_nabh,tier1_nabh,tier1_super,tier2_non_nabh,tier2_nabh,tier2_super,tier3_non_nabh,tier3_nabh,tier3_super,package_period_days,ward_uniform,source_page
1,CN001,Consultation OPD,consultation,Consultation,350,350,350,350,350,350,350,350,350,,True,7
2,CN002,Consultation for Inpatients,consultation,Consultation,350,350,350,350,350,350,350,350,350,,True,7
3,CN003,Consultation OPD – Super speciality/Psychiatry,consultation,Consultation,700,700,700,700,700,700,700,700,700,12,True,7
4,LB001,"Urine Routine- pH, Specific Gravity, Sugar, Protein and Microscopy",laboratory,Laboratory Investigation,85,100,100,77,90,90,68,80,80,,True,7
5,LB002,Urine Microalbumin,laboratory,Laboratory Investigation,207,243,243,186,219,219,165,194,194,,True,7
6,LB003,Stool Routine and Microscopy,laboratory,Laboratory Investigation,68,80,80,61,72,72,54,64,64,,True,7
7,LB004,Stool for Occult Blood,laboratory,Laboratory Investigation,85,100,100,77,90,90,68,80,80,,True,7
8,LB005,Post Coital Smear Examination,laboratory,Laboratory Investigation,340,400,400,306,360,360,272,320,320,,True,7
9,LB006,Semen Analysis (Automated/Manual),laboratory,Laboratory Investigation,213,250,250,191,225,225,170,200,200,,True,7
10,LB007,Haemoglobin (Hb),laboratory,Laboratory Investigation,43,50,50,38,45,45,34,40,40,,True,7
11,LB008,Total Leucocytic Count (TLC),laboratory,Laboratory Investigation,43,50,50,38,45,45,34,40,40,,True,7
12,LB009,Differential Leucocytic Count (DLC),laboratory,Laboratory Investigation,85,100,100,77,90,90,68,80,80,,True,7
13,LB010,Erythrocyte Sedimentation Rate (ESR),laboratory,Laboratory Investigation,85,100,100,77,90,90,68,80,80,,True,7
14,LB011,"Total Red Cell count with MCV,MCH,MCHC,DRW",laboratory,Laboratory Investigation,43,50,50,38,45,45,34,40,40,,True,7
15,LB012,"Complete Haemogram/CBC, Hb, RBC Count and Indices, TLC, DLC, Platelet, ESR, Peripheral Smear Examination)",laboratory,Laboratory Investigation,255,300,300,230,270,270,204,240,240,,True,7
16,LB013,Platelet Count,laboratory,Laboratory Investigation,85,100,100,77,90,90,68,80,80,,True,7
17,LB014,Reticulocyte Count,laboratory,Laboratory Investigation,85,100,100,77,90,90,68,80,80,,True,7
18,LB015,Absolute Eosinophil Count (AEC),laboratory,Laboratory Investigation,85,100,100,77,90,90,68,80,80,,True,7
19,LB016,Packed Cell Volume (PCV),laboratory,Laboratory Investigation,43,50,50,38,45,45,34,40,40,,True,7
20,LB017,Peripheral Smear Examination,laboratory,Laboratory Investigation,85,100,100,77,90,90,68,80,80,,True,7
21,LB018,Smear for Malaria/Filaria Parasite,laboratory,Laboratory Investigation,85,100,100,77,90,90,68,80,80,,True,7
22,LB019,Bleeding Time,laboratory,Laboratory Investigation,43,50,50,38,45,45,34,40,40,,True,7
23,LB020,Clotting Time,laboratory,Laboratory Investigation,43,50,50,38,45,45,34,40,40,,True,7
24,LB021,Osmotic Fragility Test,laboratory,Laboratory Investigation,255,300,300,230,270,270,204,240,240,,True,7
25,LB022,Bone Marrow Smear Examination,laboratory,Laboratory Investigation,298,350,350,268,315,315,238,280,280,,True,7
26,LB023,Bone Marrow Smear Examination with Iron Stain,laboratory,Laboratory Investigation,680,800,800,612,720,720,544,640,640,,True,7
27,LB024,Bone Marrow Smear Examination and Cytochemistry,laboratory,Laboratory Investigation,10200,12000,12000,9180,10800,10800,8160,9600,9600,,True,7
28,LB025,Activated Partial Thromboplastin Time (APTT),laboratory,Laboratory Investigation,247,290,290,222,261,261,197,232,232,,True,7
29,LB026,Rapid Test for Malaria (Card Test)/QBC Malaria Test,laboratory,Laboratory Investigation,85,100,100,77,90,90,68,80,80,,True,7
30,LB027,"Bleeding Disorder Panel- PT, APTT, Thrombin Time Fibrinogen, D-Dimer/ Fibrinogen Degradation Products (FDP)",laboratory,Laboratory Investigation,680,800,800,612,720,720,544,640,640,,True,7
31,LB028,Factor Assays-Factor VIII,laboratory,Laboratory Investigation,1275,1500,1500,1148,1350,1350,1020,1200,1200,,True,7
32,LB029,Factor Assays-Factor IX,laboratory,Laboratory Investigation,1275,1500,1500,1148,1350,1350,1020,1200,1200,,True,7
33,LB030,Platelet Function Tests,laboratory,Laboratory Investigation,1075,1265,1265,968,1139,1139,860,1012,1012,,True,7
34,LB031,"Tests for Hypercoagulable States- Protein C, Protein S, Antithrombin",laboratory,Laboratory Investigation,2873,3380,3380,2586,3042,3042,2298,2704,2704,,True,7
35,LB032,Tests for Lupus Anticoagulant,laboratory,Laboratory Investigation,1105,1300,1300,995,1170,1170,884,1040,1040,,True,7
36,LB033,"Tests for Antiphospholipid Antibody IgG, IgM (for Cardiolipin and B2 Glycoprotein 1)",laboratory,Laboratory Investigation,850,1000,1000,765,900,900,680,800,800,,True,7
37,LB034,Thalassemia Studies (Red Cell Indices and Hb HPLC),laboratory,Laboratory Investigation,850,1000,1000,765,900,900,680,800,800,,True,7
38,LB035,Tests for Sickling / Hb HPLC),laboratory,Laboratory Investigation,850,1000,1000,765,900,900,680,800,800,,True,7
39,LB036,Blood Group & Rh Type,laboratory,Laboratory Investigation,77,90,90,69,81,81,61,72,72,,True,7
40,LB037,Cross Match,laboratory,Laboratory Investigation,170,200,200,153,180,180,136,160,160,,True,7
41,LB038,Coomb’s Test - Direct,laboratory,Laboratory Investigation,170,200,200,153,180,180,136,160,160,,True,7
42,LB039,Coomb’s Test - Indirect,laboratory,Laboratory Investigation,213,250,250,191,225,225,170,200,200,,True,7
43,LB040,3 Cell Panel- Antibody Screening for Pregnant Female,laboratory,Laboratory Investigation,893,1050,1050,803,945,945,714,840,840,,True,7
44,LB041,11 Cells Panel for Antibody Identification,laboratory,Laboratory Investigation,1942,2285,2285,1748,2057,2057,1554,1828,1828,,True,7
45,LB042,Hepatitis B Surface Antigen (HBsAg),laboratory,Laboratory Investigation,255,300,300,230,270,270,204,240,240,,True,7
46,LB043,Hepatitis C Virus (HCV),laboratory,Laboratory Investigation,425,500,500,383,450,450,340,400,400,,True,7
47,LB044,Human Immunodeficiency Virus- HIV I and II,laboratory,Laboratory Investigation,327,385,385,295,347,347,262,308,308,,True,7
48,LB045,Venereal Disease Research Laboratory Test (VDRL),laboratory,Laboratory Investigation,85,100,100,77,90,90,68,80,80,,True,7
49,LB046,Rh Antibody Titre,laboratory,Laboratory Investigation,255,300,300,230,270,270,204,240,240,,True,7
50,LB047,Platelet Concentrate Test,laboratory,Laboratory Investigation,850,1000,1000,765,900,900,680,800,800,,True,7
51,LB048,Routine - H & E,laboratory,Laboratory Investigation,463,545,545,417,491,491,371,436,436,,True,7
52,LB049,Special Stain,laboratory,Laboratory Investigation,170,200,200,153,180,180,136,160,160,,True,7
53,LB050,Histopathology Examination (HPE) - Frozen Section,laboratory,Laboratory Investigation,1275,1500,1500,1148,1350,1350,1020,1200,1200,,True,7
54,LB051,Histopathology Examination (HPE) - Paraffin Section,laboratory,Laboratory Investigation,425,500,500,383,450,450,340,400,400,,True,7
55,LB052,Pap Smear,laboratory,Laboratory Investigation,340,400,400,306,360,360,272,320,320,,True,7
56,LB053,Body Fluid for Malignant cells,laboratory,Laboratory Investigation,298,350,350,268,315,315,238,280,280,,True,7
57,LB054,"Paroxysmal Nocturnal Haemoglobinuria (PNH) Panel- CD55, CD59",laboratory,Laboratory Investigation,1275,1500,1500,1148,1350,1350,1020,1200,1200,,True,7
58,LB055,Blood Glucose Random / Blood Glucose Fasting /Blood Glucose PP,laboratory,Laboratory Investigation,34,40,40,31,36,36,27,32,32,,True,7
59,LB056,"24 Hrs Urine for Proteins, Sodium, Creatinine",laboratory,Laboratory Investigation,255,300,300,230,270,270,204,240,240,,True,7
60,LB057,Blood Urea Nitrogen (BUN) / Urea,laboratory,Laboratory Investigation,85,100,100,77,90,90,68,80,80,,True,7
61,LB058,Serum Creatinine,laboratory,Laboratory Investigation,85,100,100,77,90,90,68,80,80,,True,7
62,LB059,Urine Bile Pigment and Salt,laboratory,Laboratory Investigation,60,70,70,54,63,63,48,56,56,,True,7
63,LB060,Urine Urobilinogen,laboratory,Laboratory Investigation,60,70,70,54,63,63,48,56,56,,True,7
64,LB061,Urine Ketones,laboratory,Laboratory Investigation,60,70,70,54,63,63,48,56,56,,True,7
65,LB062,Urine Occult Blood,laboratory,Laboratory Investigation,60,70,70,54,63,63,48,56,56,,True,7
66,LB063,Urine Total Proteins,laboratory,Laboratory Investigation,60,70,70,54,63,63,48,56,56,,True,7
67,LB064,Rheumatoid Factor / Rh Factor Test,laboratory,Laboratory Investigation,638,750,750,574,675,675,510,600,600,,True,7
68,LB065,Bence Jones Protein,laboratory,Laboratory Investigation,85,100,100,77,90,90,68,80,80,,True,7
69,LB066,Serum Uric Acid,laboratory,Laboratory Investigation,128,150,150,115,135,135,102,120,120,,True,7
70,LB067,Serum Bilirubin total & direct,laboratory,Laboratory Investigation,128,150,150,115,135,135,102,120,120,,True,7
71,LB068,Serum Iron,laboratory,Laboratory Investigation,213,250,250,191,225,225,170,200,200,,True,7
72,LB069,C-Reactive Protein (CRP),laboratory,Laboratory Investigation,213,250,250,191,225,225,170,200,200,,True,7
73,LB070,C-Reactive Protein (CRP) Quantitative,laboratory,Laboratory Investigation,255,300,300,230,270,270,204,240,240,,True,7
74,LB071,"Body Fluid (CSF/Ascitic Fluid etc.) Sugar, Protein etc.",laboratory,Laboratory Investigation,255,300,300,230,270,270,204,240,240,,True,7
75,LB072,Albumin,laboratory,Laboratory Investigation,43,50,50,38,45,45,34,40,40,,True,7
76,LB073,Creatinine Clearance,laboratory,Laboratory Investigation,170,200,200,153,180,180,136,160,160,,True,7
77,LB074,Serum Cholesterol,laboratory,Laboratory Investigation,128,150,150,115,135,135,102,120,120,,True,7
78,LB075,Total Iron Binding Capacity (TIBC),laboratory,Laboratory Investigation,255,300,300,230,270,270,204,240,240,,True,7
79,LB076,Glucose (Fasting & PP),laboratory,Laboratory Investigation,68,80,80,61,72,72,54,64,64,,True,7
80,LB077,Serum Calcium –Total,laboratory,Laboratory Investigation,128,150,150,115,135,135,102,120,120,,True,7
81,LB078,Serum Calcium – Ionic,laboratory,Laboratory Investigation,510,600,600,459,540,540,408,480,480,,True,7
82,LB079,Serum Phosphorus,laboratory,Laboratory Investigation,128,150,150,115,135,135,102,120,120,,True,7
83,LB080,Total Protein Albumin/Globulin Ratio (A/G Ratio),laboratory,Laboratory Investigation,60,70,70,54,63,63,48,56,56,,True,7
84,LB081,Immunoglobulin G (IgG),laboratory,Laboratory Investigation,340,400,400,306,360,360,272,320,320,,True,7
85,LB082,Immunoglobulin M(IgM),laboratory,Laboratory Investigation,340,400,400,306,360,360,272,320,320,,True,7
86,LB083,Immunoglobulin A(IgA),laboratory,Laboratory Investigation,340,400,400,306,360,360,272,320,320,,True,7
87,LB084,Antinuclear Antibody (ANA),laboratory,Laboratory Investigation,557,655,655,501,590,590,445,524,524,,True,7
88,LB085,Anti-double stranded DNA (anti-dsDNA),laboratory,Laboratory Investigation,680,800,800,612,720,720,544,640,640,,True,7
89,LB086,Serum Glutamic Pyruvic Transaminase (SGPT) / Alanine Aminotransferase (ALT),laboratory,Laboratory Investigation,85,100,100,77,90,90,68,80,80,,True,7
90,LB087,Serum Glutamic Oxaloacetic Transaminase (SGOT) /Aspartate Aminotransferase (AST),laboratory,Laboratory Investigation,85,100,100,77,90,90,68,80,80,,True,7
91,LB088,Serum Amylase,laboratory,Laboratory Investigation,255,300,300,230,270,270,204,240,240,,True,7
92,LB089,Serum Lipase,laboratory,Laboratory Investigation,340,400,400,306,360,360,272,320,320,,True,7
93,LB090,Serum Lactate,laboratory,Laboratory Investigation,425,500,500,383,450,450,340,400,400,,True,7
94,LB091,Serum Magnesium,laboratory,Laboratory Investigation,255,300,300,230,270,270,204,240,240,,True,7
95,LB092,Serum Sodium,laboratory,Laboratory Investigation,102,120,120,92,108,108,82,96,96,,True,7
96,LB093,Serum Potassium,laboratory,Laboratory Investigation,102,120,120,92,108,108,82,96,96,,True,7
97,LB094,Chloride,laboratory,Laboratory Investigation,128,150,150,115,135,135,102,120,120,,True,7
98,LB095,Serum Bicarbonate,laboratory,Laboratory Investigation,170,200,200,153,180,180,136,160,160,,True,7
99,LB096,Serum Ammonia,laboratory,Laboratory Investigation,570,670,670,513,603,603,456,536,536,,True,7
100,LB097,"Anaemia Profile (Hb, Serum Iron, TIBC, Ferritin, Transferrin Saturation,Stool Occult Blood, CBC, Reticulocyte Count)",laboratory,Laboratory Investigation,1122,1320,1320,1010,1188,1188,898,1056,1056,,True,7
101,LB098,Serum Testosterone,laboratory,Laboratory Investigation,340,400,400,306,360,360,272,320,320,,True,7
102,LB099,Imprint Smear from Endoscopy,laboratory,Laboratory Investigation,850,1000,1000,765,900,900,680,800,800,,True,7
103,LB100,Triglycerides,laboratory,Laboratory Investigation,128,150,150,115,135,135,102,120,120,,True,7
104,LB101,Glucose Tolerance Test (GTT),laboratory,Laboratory Investigation,255,300,300,230,270,270,204,240,240,,True,7
105,LB102,"Triple Marker Test (AFP,HCG,UE3)",laboratory,Laboratory Investigation,1275,1500,1500,1148,1350,1350,1020,1200,1200,,True,7
106,LB103,Creatine Phosphokinase (CPK)/Creatine Kinase (CK),laboratory,Laboratory Investigation,196,230,230,176,207,207,156,184,184,,True,7
107,LB104,Foetal Haemoglobin (HbF),laboratory,Laboratory Investigation,425,500,500,383,450,450,340,400,400,,True,7
108,LB105,Prothrombin Time (PT)/ International normalized ratio (INR),laboratory,Laboratory Investigation,213,250,250,191,225,225,170,200,200,,True,7
109,LB106,Lactate dehydrogenase (LDH),laboratory,Laboratory Investigation,187,220,220,168,198,198,150,176,176,,True,7
110,LB107,Alkaline Phosphatase,laboratory,Laboratory Investigation,128,150,150,115,135,135,102,120,120,,True,7
111,LB108,Acid Phosphatase,laboratory,Laboratory Investigation,128,150,150,115,135,135,102,120,120,,True,7
112,LB109,CPK MB/CK MB,laboratory,Laboratory Investigation,306,360,360,275,324,324,245,288,288,,True,7
113,LB110,CK MB Mass/CPK MB Mass,laboratory,Laboratory Investigation,306,360,360,275,324,324,245,288,288,,True,7
114,LB111,Troponin I,laboratory,Laboratory Investigation,595,700,700,536,630,630,476,560,560,,True,7
115,LB112,Troponin T,laboratory,Laboratory Investigation,595,700,700,536,630,630,476,560,560,,True,7
116,LB113,Glucose-6-Phosphate Dehydrogenase (G6PD),laboratory,Laboratory Investigation,255,300,300,230,270,270,204,240,240,,True,7
117,LB114,Lithium,laboratory,Laboratory Investigation,298,350,350,268,315,315,238,280,280,,True,7
118,LB115,Dilantin (Phenytoin),laboratory,Laboratory Investigation,510,600,600,459,540,540,408,480,480,,True,7
119,LB116,Carbamazepine.,laboratory,Laboratory Investigation,595,700,700,536,630,630,476,560,560,,True,7
120,LB117,Cyclosporine,laboratory,Laboratory Investigation,2125,2500,2500,1913,2250,2250,1700,2000,2000,,True,7
121,LB118,Valproic acid.,laboratory,Laboratory Investigation,510,600,600,459,540,540,408,480,480,,True,7
122,LB119,Blood gas analysis / Arterial Blood Gas (ABG),laboratory,Laboratory Investigation,476,560,560,428,504,504,381,448,448,,True,7
